"otu.1"	"otu.2"	"otu.3"	"otu.4"	"otu.5"	"otu.6"	"otu.7"	"otu.8"	"otu.9"	"otu.10"	"otu.11"	"otu.12"	"otu.13"	"otu.14"	"otu.15"	"otu.16"	"otu.17"	"otu.18"	"otu.19"	"otu.20"	"otu.21"	"otu.22"	"otu.23"	"otu.24"	"otu.25"	"otu.26"	"otu.27"	"otu.28"	"otu.29"	"otu.30"	"otu.31"	"otu.32"	"otu.33"	"otu.34"	"otu.35"	"otu.36"	"otu.37"	"otu.38"	"otu.39"	"otu.40"	"otu.41"	"otu.42"	"otu.43"	"otu.44"	"otu.45"	"otu.46"	"otu.47"	"otu.48"	"otu.49"	"otu.50"	"otu.51"	"otu.52"	"otu.53"	"otu.54"	"otu.55"	"otu.56"	"otu.57"	"otu.58"	"otu.59"	"otu.60"	"otu.61"	"otu.62"	"otu.63"	"otu.64"	"otu.65"	"otu.66"	"otu.67"	"otu.68"	"otu.69"	"otu.70"	"otu.71"	"otu.72"	"otu.73"	"otu.74"	"otu.75"	"otu.76"	"otu.77"	"otu.78"	"otu.79"	"otu.80"	"otu.81"	"otu.82"	"otu.83"	"otu.84"	"otu.85"	"otu.86"	"otu.87"	"otu.88"	"otu.89"	"otu.90"	"otu.91"	"otu.92"	"otu.93"	"otu.94"	"otu.95"	"otu.96"	"otu.97"	"otu.98"	"otu.99"	"otu.100"	"otu.101"	"otu.102"	"otu.103"
"sample.11"	0	0	0	0	0	0	0.000245809484764073	0.000389889320852007	0.000605927817139443	0.000922650643031289	0.0013765453830339	0.00201224393373698	0.00288209018744978	0.00404456066724401	0.00556124449299605	0.00749220187193711	0.00988971553451066	0.0127907195406803	0.0162085065257415	0.020124628467088	0.0244821519900695	0.0291815365282804	0.0340803125189342	0.0389974157954716	0.0437224949927788	0.048029812549611	0.051695613533415	0.0545171750438584	0.0563313086407437	0.0570299754636624	0.0565709375381139	0.0549819850130916	0.0523581509987252	0.048852302171063	0.0446604007182188	0.0400034127824137	0.0351081802119331	0.0301895362417163	0.0254355663224152	0.0209972891535222	0.0169832926609583	0.0134591429398372	0.0104508054892267	0.00795094906389188	0.00592686486282282	0.00432880404007365	0.00309775933735928	0.00217202225337063	0.00149216797042288	0.00100440300633646	0.000662422601086225	0.000428054558788157	0.000271019137582517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.12"	0	0	0	0	0	0	0.000188129929332092	0.000301831082513748	0.00047446794577469	0.000730779979951568	0.00110281649178966	0.00163063481383731	0.00236236508740104	0.00335331358619964	0.00466378121293249	0.00635534331471701	0.00848548579507278	0.0111007226707132	0.0142286154531574	0.0178694373745948	0.0219885181698582	0.0265104984884577	0.0313167490803467	0.0362470192540083	0.0411059577661847	0.0456745305387537	0.0497256260919273	0.0530424132923768	0.0554374362224117	0.0567701245811092	0.0569604490368429	0.0559968772593478	0.0539375307096286	0.0509043808268925	0.0470712905584808	0.042647531549336	0.0378589478376927	0.0329291126820161	0.0280626295815525	0.0234322259549181	0.0191705943089237	0.0153671897589022	0.0120695250059267	0.009288011637754	0.00700312970916217	0.0051736665799517	0.00374491143105408	0.00265595989051125	0.00184560314150661	0.0012565853051341	0.000838267212698195	0.000547910761344902	0.000350892453547121	0.000220178583453696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.13"	0	0	0	0	0	0	0	0.000232254195097315	0.000369291956942185	0.000575324644843591	0.000878199032734775	0.00131343860821932	0.00192470178518412	0.00276346499323876	0.00388759784808773	0.00535852851333734	0.00723680059685726	0.0095760082987005	0.0124153586161469	0.0157714226664857	0.0196299557333944	0.0239389235070215	0.0286039994556477	0.0334877333198124	0.0384132976267906	0.0431732037203599	0.0475426965394031	0.051296790240533	0.0542292276450451	0.0561711731490062	0.0570072927262701	0.0566870930577797	0.0552299695636329	0.0527232615205042	0.0493135854675475	0.0451926428261816	0.0405794116134248	0.0357010179440044	0.0307745917485701	0.0259920688463466	0.0215092983850575	0.0174400805811934	0.0138550334135466	0.0107845869196096	0.008225007448278	0.00614618929807377	0.00449999894080874	0.00322816510249841	0.00226900740086645	0.00156261839988837	0.001054403411852	0.000697103909840282	0.000451569999984989	0.000286608781350509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.14"	0	0	0	0	0	0	0	0	0.000285544712830888	0.000449966951701931	0.000694742648000744	0.00105100346740227	0.00155783402574518	0.00226242957398317	0.00321933225060904	0.00448841886149683	0.00613137395116342	0.00820652085532589	0.0107621043300639	0.013828407390117	0.0174094070842996	0.0214749738071247	0.0259548278320748	0.0307355160469488	0.0356615087784334	0.0405411221052748	0.0451573724427031	0.0492831444848262	0.0526993190331826	0.0552139025184313	0.05667985521682	0.0570093208864907	0.0561823434411835	0.0542488679937973	0.0513237472436636	0.0475754475127464	0.0432099987773128	0.038452313393513	0.0335272196552879	0.0286424031711109	0.0239749778564161	0.0196627303374604	0.0158003344150893	0.0124401489971801	0.00959669588344595	0.00725361882838479	0.00537185863124869	0.00389790515307226	0.0027712442621189	0.00193043504809402	0.0013175661479711	0.000881102654346304	0.000577321110592504	0.000370633964037103	0.000233136266876861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.15"	0	0	0	0	0	0	0	0	0.000219341121152579	0.000349614888610847	0.000546005008511892	0.000835487932014976	0.0012526235812299	0.00184008477757702	0.00264845092013	0.00373493349552481	0.00516072437014571	0.00698675159834319	0.00926780289617588	0.0120452306894934	0.0153387617739126	0.0191382547092018	0.0233965167754534	0.0280244390150043	0.032889668598877	0.0378197727124128	0.0426103575890304	0.0470379396405367	0.0508766197993764	0.053916917578052	0.0559846167134398	0.056957275904398	0.0567762308832472	0.0554524519005823	0.053065443297846	0.0497553386690811	0.0457092845940148	0.0411439523955734	0.0362864465543332	0.0313559324510278	0.0265480023146878	0.0220232201830589	0.0179005610063573	0.0142557250525491	0.0111236887001095	0.00850442958610735	0.00637057158514188	0.00467571959004982	0.00336244634588575	0.00236918577012166	0.00163560984217722	0.00110636177463288	0.000733248961572904	0.00047614869486407	0.000302949742165647	0.00018885801620711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.16"	0	0	0	0	0	0	0	0	0	0.000270007707819324	0.000426526712076845	0.000660166002541017	0.00100114486153378	0.00148757043217728	0.00216568355933101	0.00308922335187836	0.00431758072094634	0.00591246346209546	0.00793292450501374	0.0104288163570334	0.0134330170487732	0.0169530935776437	0.0209633748377033	0.0253986297847664	0.0301506183224251	0.0350686465988404	0.0399648912337516	0.0446246797597716	0.0488211985397574	0.052333358763035	0.0549649234919016	0.056562616906442	0.0570308977221679	0.056341417448682	0.0545358613878455	0.0517217764394249	0.0480619664221816	0.0437589090319025	0.0390362673263088	0.0341198354714929	0.0292201486153817	0.0245185487016331	0.0201578378162126	0.0162379044213345	0.0128160107239429	0.00991088851350637	0.00750946792834078	0.00557497071168205	0.00405520543948964	0.0028901473066534	0.00201819880143392	0.00138084444278599	0.000925683273353618	0.000608018681782881	0.000391298585459621	0.000246738249742932	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.17"	0	0	0	0	0	0	0	0	0	0.000207122507150668	0.000330948740688423	0.00051812078946695	0.00079476393548989	0.00119448893746656	0.00175898833597517	0.00253793581551423	0.00358785726148202	0.00496965827190669	0.00674457740539374	0.00896849989694083	0.0116848117222371	0.0149162783064679	0.0186567539464683	0.0228638065718826	0.0274535074766465	0.0322986214245947	0.0372311954767137	0.0420500797790006	0.0465332637403362	0.0504541682750864	0.0536003265929138	0.0557923517099341	0.056900849074855	0.0568590597224826	0.0556695162317261	0.0534037886430853	0.0501953557836647	0.0462265894247845	0.0417116159933515	0.0368772923273049	0.0319446315723607	0.0271127511889437	0.0225468637744075	0.0183711160440707	0.0146663413043471	0.0114721517100704	0.00879234706859276	0.00660239665214592	0.00485775097943829	0.00350191605591842	0.00247350653543345	0.00171181662635626	0.00116074885941663	0.000771180675353137	0.000502008254428239	0.000320186064034958	0.000200092513670107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.18"	0	0	0	0	0	0	0	0	0	0	0.000255241792252556	0.000404189881071149	0.000627127629862914	0.000953373950040158	0.00142006254978181	0.00207247125065426	0.00296351003717561	0.00415203626001128	0.00569970948215973	0.00766621773133967	0.0101029086624142	0.0130451341934409	0.016503935687336	0.0204580078791566	0.0248471171589225	0.0295682431778676	0.0344756038871074	0.0393853845641416	0.0440854365615772	0.0483495068289694	0.0519548145141384	0.0547011423572436	0.0564291931746964	0.0570358781827561	0.0564844978352583	0.0548084169933142	0.0521077226219231	0.0485393296125953	0.0443018948997667	0.0396175558021499	0.0347128204123476	0.0298008719895941	0.0250671459548043	0.0206593976426967	0.0166827356149053	0.0131993859231968	0.0102323888066653	0.00777207867607315	0.00578407865248882	0.00421762573785846	0.00301327476874886	0.00210933849567072	0.00144674060080148	0.000972236469168681	0.000640162150800897	0.000412995125655318	0.000261057819399039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.19"	0	0	0	0	0	0	0	0	0	0	0.000195527511188751	0.000313187838184575	0.000491517237452129	0.000755804484519163	0.00113872019567833	0.00168097567566563	0.00243132313375562	0.00344556766361279	0.00478427054854115	0.00650889890261707	0.00867633213227675	0.0113318719508848	0.0145012017749288	0.0181820639090177	0.0223367103059597	0.0268863650361638	0.0317089467828479	0.0366410905225065	0.0414850685217328	0.0460205791778427	0.0500206344179292	0.0532700566385909	0.0555845339619631	0.0568279024479554	0.0569254052592548	0.0558711336183379	0.0537286195863157	0.0506244979658869	0.0467361166374042	0.0422747808431837	0.0374668303224018	0.0325348935042623	0.0276814396331892	0.0230762270504603	0.0188485428525548	0.0150843849343239	0.0118280807026082	0.00908736137475725	0.0068406625313087	0.00504539741623149	0.00364610727489656	0.00258166775988291	0.00179105163977794	0.0012174544216611	0.000810838128019721	0.000529117908163257	0.0003383043687974	0.00021193349450465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.20"	0	0	0	0	0	0	0	0	0	0	0	0.000241213156977254	0.000382911334720053	0.000595569294781174	0.000907618257103163	0.0013552237213474	0.00198269364042914	0.00284208511236735	0.00399167701323421	0.00549301207598623	0.00740632152480993	0.00978433732735489	0.0126647645359249	0.0160620017806398	0.0199590132726341	0.0243005057030047	0.028988677543615	0.0338827259059001	0.0388029843905398	0.0435400339009618	0.0478684366498378	0.0515639967506732	0.0544227832124858	0.0562796996570033	0.0570242578027559	0.0566114604786558	0.0550663034955411	0.0524812700308862	0.0490071668033478	0.044838564753789	0.0401957981719263	0.0353058326568155	0.0303842910288207	0.0256205591284825	0.0211672747386189	0.0171347644043584	0.0135902728307853	0.0105612436212108	0.00804153198094202	0.00599928333601201	0.00438527467259213	0.00314073341601781	0.00220395233174967	0.00151534027559707	0.00102083366278698	0.000673808750369884	0.000435767821838906	0.000276128043768334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.21"	0	0	0	0	0	0	0	0	0	0	0	0.000184527795368886	0.000296293680097491	0.000466143712307207	0.00071854524569218	0.00108523866180203	0.0016059545177935	0.00232850981601383	0.00330795621124077	0.00460445548029398	0.00627962416078122	0.00839123478188974	0.0109863882030453	0.014093564784568	0.0177142846446957	0.0218154024370862	0.026323260785835	0.0311209604073059	0.036049823524275	0.0409157147640091	0.0455002715897757	0.0495763652600954	0.0529263840806045	0.0553613424376976	0.0567384997825722	0.056975209611244	0.0560571303863216	0.0540396639723891	0.0510424209570308	0.0472374817674927	0.0428330556034435	0.038054693113341	0.0331263997442272	0.0282538151781177	0.0236111319813804	0.0193327379864181	0.0155098203920995	0.0121914965315647	0.00938953570175841	0.00708546020280399	0.0052387642579417	0.00379512859232883	0.00269377292356294	0.00187340777364969	0.00127655784825391	0.000852286342846439	0.000557528927708125	0.000357343699995481	0.000224409739233892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.22"	0	0	0	0	0	0	0	0	0	0	0	0	0.000227847816463714	0.000362581531329261	0.000565331694230574	0.000863650117650525	0.00129273404480116	0.00189590854264467	0.00272434703144286	0.00383569723597366	0.00529130820276536	0.00715185408054982	0.0094713324000025	0.0122896739085881	0.0156245129324046	0.0194629856934898	0.0237546855733423	0.0284070382786959	0.0332843035425271	0.0382111262807038	0.0429810529774713	0.0473697519247975	0.0511519291118927	0.0541202471366586	0.0561040706077508	0.0569856912992724	0.0567118894911403	0.0552992524391444	0.0528325108540174	0.049456125389908	0.0453602849414533	0.0407632034528991	0.0358920022526694	0.0309644887231608	0.0261738125562021	0.0216773859326423	0.0175907225470608	0.013986121445507	0.0108955148934754	0.00831639425358111	0.00621955378646702	0.00455743237899077	0.00327203609900186	0.00230172156471357	0.00158644249358052	0.00107135334261609	0.000708888565356569	0.000459578877973623	0.000291930181474709	0.000181691571514931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"sample.23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00028027789605033	0.000442028090669643	0.000683042516371277	0.00103414741983788	0.00153410122017914	0.00222978210271977	0.00317546757532663	0.00443087794644831	0.00605771363139696	0.00811455182082373	0.0106501858030691	0.0136957770717904	0.0172565120640728	0.0213037573965033	0.0257689215576332	0.0305402878795032	0.0354639296525541	0.0403494328276353	0.0449805601391641	0.0491302678232923	0.0525787492879289	0.0551325675193104	0.056642580712263	0.0570183563186223	0.0562371369393812	0.054346121890903	0.0514577463543583	0.0477386147340177	0.0433936029240299	0.0386472374914634	0.0337246963897436	0.0288346370052012	0.0241555970176392	0.0198270412580372	0.0159453806846186	0.0125646015670793	0.00970061788726635	0.00733815568795696	0.00543890273991012	0.00394977640489005	0.00281041578991746	0.0019593205333159	0.00133837325720257	0.000895748021926541	0.000587396443572332	0.00037741018403053	0.000237592520372407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
