Sample Number,Habit,Species Name,First_Value,Second_Value,Notes
6,Herbs,Linnaea borealis var. longiflora,0.001,0,
6,Herbs,Melica subulata,0.001,0,
6,Herbs,Packera bolanderi,0.001,0,
6,Herbs,Polystichum munitum,4,3,
6,Herbs,Pteridium aquilinum var. pubescens,0.001,0,
6,Herbs,Trillium ovatum,0.001,0,
6,Herbs,UNK Grasses,4,2,
6,Shrubs,Acer circinatum,4,2,
6,Shrubs,Berberis nervosa,19,7,
6,Shrubs,Cornus sp.,1,1,
6,Shrubs,Corylus cornuta,1,1,
6,Shrubs,Gaultheria shallon,61,17,
6,Shrubs,Lithocarpus densiflorus,6,5,
6,Shrubs,Rosa gymnocarpa,1,1,
6,Shrubs,Rubus ursinus,18,10,
7,Herbs,Achlys triphylla,108,5,
7,Herbs,Adenocaulon bicolor,2,1,
7,Herbs,Corallorhiza maculata,0.001,0,
7,Herbs,Goodyera oblongifolia,14,4,
7,Herbs,Prosartes hookeri,1,1,
7,Herbs,Pteridium aquilinum var. pubescens,8,5,
7,Herbs,Smilacina racemosa,0.001,0,
7,Shrubs,Berberis nervosa,24,5,
7,Shrubs,Gaultheria shallon,13,3,
7,Shrubs,Holodiscus discolor,2,2,
7,Shrubs,Lithocarpus densiflorus,8,7,
7,Shrubs,Pinus lambertiana,2,2,
7,Shrubs,Quercus chrysolepis,22,13,
7,Shrubs,Rosa gymnocarpa,7,5,
7,Shrubs,Rubus ursinus,2,2,
7,Shrubs,Toxicodendron diversilobum,2,1,
8,Herbs,Achlys triphylla,103,12,
8,Herbs,Cephalanthera austiniae,0.001,0,
8,Herbs,Corallorhiza maculata,1,1,
8,Herbs,Galium triflorum,2,1,
8,Herbs,Goodyera oblongifolia,2,1,
8,Herbs,Prosartes hookeri,4,3,
8,Herbs,Pteridium aquilinum var. pubescens,1,1,
8,Herbs,Viola sempervirens,5,3,
8,Shrubs,Berberis nervosa,9,5,
8,Shrubs,Gaultheria shallon,96,24,
8,Shrubs,Lithocarpus densiflorus,10,8,
8,Shrubs,Pseudotsuga menziesii var. menziesii,2,1,
8,Shrubs,Quercus chrysolepis,1,1,
8,Shrubs,Rosa gymnocarpa,4,3,
8,Shrubs,Rubus ursinus,4,3,
10,Herbs,Allotropa virgata,0.001,0,
10,Herbs,Pteridium aquilinum var. pubescens,21,11,
10,Herbs,Symphoricarpos albus var. laevigatus,1,1,
10,Herbs,Symphoricarpos mollis,1,1,
10,Shrubs,Chrysolepis chrysophylla var. chrysophylla,6,3,
10,Shrubs,Lithocarpus densiflorus,24,17,
10,Shrubs,Quercus chrysolepis,10,7,
10,Shrubs,Rosa gymnocarpa,1,1,
10,Shrubs,Rubus ursinus,2,2,
10,Shrubs,Toxicodendron diversilobum,4,2,
11,Herbs,Boschniakia strobilacea,4,1,"Whittaker called this Boschniakia hookeri, but Kosloff says that this spp. Is only found along the coast, so we changed them to match B. strobilacea"
11,Herbs,Lonicera hispidula var. vacillans,1,1,
11,Herbs,Pteridium aquilinum var. pubescens,6,6,
11,Shrubs,Chrysolepis chrysophylla var. chrysophylla,5,3,
11,Shrubs,Lithocarpus densiflorus,42,18,
11,Shrubs,Quercus chrysolepis,2,2,
11,Shrubs,Rosa gymnocarpa,1,1,
11,Shrubs,Toxicodendron diversilobum,3,1,
12,Herbs,Allotropa virgata,8,3,
12,Herbs,Pteridium aquilinum var. pubescens,11,4,
12,Shrubs,Alnus incana ssp. tenuifolia,0.001,0,
12,Shrubs,Chrysolepis chrysophylla var. chrysophylla,3,1,
12,Shrubs,Lithocarpus densiflorus,27,16,
12,Shrubs,Quercus chrysolepis,15,9,
12,Shrubs,Rosa gymnocarpa,8,6,
12,Shrubs,Toxicodendron diversilobum,1,1,
13,Herbs,Achlys triphylla,46,13,
13,Herbs,Adiantum aleuticum,4,1,
13,Herbs,Boykinia occidentalis,3,1,
13,Herbs,Chimaphila menziesii,6,3,
13,Herbs,Equisetum hyemale ssp. affine,6,2,
13,Herbs,Galium ambiguum,3,2,
13,Herbs,Goodyera oblongifolia,1,1,
13,Herbs,Linnaea borealis var. longiflora,1,1,
13,Herbs,Mitella ovalis,1,1,
13,Herbs,Polystichum munitum,2,2,
13,Herbs,Prosartes hookeri,0.001,0,
13,Herbs,Pyrola picta,4,1,
13,Herbs,Trientalis latifolia,10,4,
13,Herbs,Trillium ovatum,2,2,
13,Herbs,UNK Grasses,4,3,
13,Herbs,Viola sempervirens,3,2,
13,Shrubs,Acer circinatum,1,1,
13,Shrubs,Berberis nervosa,1,1,
13,Shrubs,Cupressus lawsoniana,1,1,
13,Shrubs,Gaultheria shallon,21,7,
13,Shrubs,Lithocarpus densiflorus,8,6,
13,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
13,Shrubs,Quercus chrysolepis,2,2,
13,Shrubs,Rubus ursinus,1,1,
13,Shrubs,Vaccinium parvifolium,7,3,
14,Herbs,Achlys triphylla,176,19,
14,Herbs,Cephalanthera austiniae,0.001,0,
14,Herbs,Galium triflorum,10,7,
14,Herbs,Goodyera oblongifolia,11,5,
14,Herbs,Pleuricospora fimbriolata,0.001,0,
14,Herbs,Prosartes hookeri,10,7,
14,Herbs,Pteridium aquilinum var. pubescens,4,3,
14,Herbs,Trientalis latifolia,3,1,
14,Herbs,Trillium ovatum,2,2,
14,Herbs,UNK Grasses,7,6,
14,Herbs,Vancouveria hexandra,5,2,
14,Herbs,Viola sempervirens,80,20,
14,Shrubs,Acer circinatum,6,3,
14,Shrubs,Berberis nervosa,28,8,
14,Shrubs,Cornus nuttallii,1,1,
14,Shrubs,Gaultheria shallon,10,6,
14,Shrubs,Lithocarpus densiflorus,7,7,
14,Shrubs,Quercus chrysolepis,1,1,
14,Shrubs,Rosa gymnocarpa,24,10,
14,Shrubs,Rubus ursinus,9,5,
15,Herbs,Achlys triphylla,59,9,
15,Herbs,Adenocaulon bicolor,4,2,
15,Herbs,Allotropa virgata,0.001,0,
15,Herbs,Goodyera oblongifolia,0.001,0,
15,Herbs,Polystichum munitum,1,1,
15,Herbs,Prosartes hookeri,6,5,
15,Herbs,Pteridium aquilinum var. pubescens,26,17,
15,Herbs,UNK Grasses,5,4,
15,Herbs,Vancouveria hexandra,1,1,
15,Herbs,Viola sempervirens,6,4,
15,Shrubs,Berberis nervosa,14,9,
15,Shrubs,Gaultheria shallon,30,10,
15,Shrubs,Lithocarpus densiflorus,14,9,
15,Shrubs,Rosa gymnocarpa,11,7,
15,Shrubs,Rubus ursinus,2,2,
15,Shrubs,Toxicodendron diversilobum,5,2,
16,Herbs,Achlys triphylla,11,3,
16,Herbs,Apocynum androsaemifolium,18,10,"Whittaker originally had Apocynum sp., but there is no other Apocynum, so we changed to A. adrosaemifolium"
16,Herbs,Campanula prenanthoides,1,1,
16,Herbs,Corallorhiza maculata,0.001,0,
16,Herbs,Cypripedium fasciculatum,1,1,
16,Herbs,Pteridium aquilinum var. pubescens,5,5,
16,Shrubs,Berberis nervosa,2,2,
16,Shrubs,Holodiscus discolor,1,1,
16,Shrubs,Lithocarpus densiflorus,23,14,
16,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
16,Shrubs,Quercus chrysolepis,2,2,
16,Shrubs,Rosa gymnocarpa,6,4,
16,Shrubs,Rubus ursinus,2,1,
17,Herbs,Achlys triphylla,74,5,
17,Herbs,Adenocaulon bicolor,0.001,0,
17,Herbs,Apocynum androsaemifolium,4,2,
17,Herbs,Campanula prenanthoides,1,1,
17,Herbs,Festuca occidentalis,0.001,0,
17,Herbs,Hieracium albiflorum,8,2,
17,Herbs,Prosartes hookeri,1,1,
17,Herbs,Pteridium aquilinum var. pubescens,44,15,
17,Herbs,Trientalis latifolia,6,4,
17,Herbs,UNK Grasses,2,1,
17,Herbs,Vancouveria hexandra,1,1,
17,Herbs,Whipplea modesta,6,2,
17,Shrubs,Berberis nervosa,18,8,
17,Shrubs,Chrysolepis chrysophylla var. chrysophylla,1,1,
17,Shrubs,Lithocarpus densiflorus,8,6,
17,Shrubs,Pseudotsuga menziesii var. menziesii,7,6,
17,Shrubs,Quercus chrysolepis,2,1,
17,Shrubs,Rosa gymnocarpa,15,10,
17,Shrubs,Rubus ursinus,2,2,
18,Herbs,Achlys triphylla,92,11,
18,Herbs,Adenocaulon bicolor,7,3,
18,Herbs,Bromus suksdorfii,0.001,0,
18,Herbs,Campanula prenanthoides,1,1,
18,Herbs,Collomia heterophylla,12,1,
18,Herbs,Corallorhiza maculata,1,1,
18,Herbs,Goodyera oblongifolia,4,1,
18,Herbs,Hieracium albiflorum,1,1,
18,Herbs,Prosartes hookeri,3,2,
18,Herbs,Trientalis latifolia,4,3,
18,Herbs,UNK Grasses,9,4,
18,Herbs,Viola sempervirens,3,2,
18,Herbs,Whipplea modesta,2,1,
18,Shrubs,Berberis nervosa,35,14,
18,Shrubs,Lithocarpus densiflorus,9,5,
18,Shrubs,Quercus chrysolepis,4,4,
18,Shrubs,Rosa gymnocarpa,15,7,
18,Shrubs,Rubus ursinus,1,1,
19,Herbs,Achlys triphylla,43,6,
19,Herbs,Adenocaulon bicolor,6,5,
19,Herbs,Adiantum aleuticum,1,1,
19,Herbs,Boykinia occidentalis,4,3,
19,Herbs,Carex bolanderi,8,7,
19,Herbs,Chimaphila menziesii,5,3,
19,Herbs,Chimaphila umbellata,10,4,
19,Herbs,Galium triflorum,11,6,
19,Herbs,Hieracium albiflorum,3,1,
19,Herbs,Mitella ovalis,0.001,0,
19,Herbs,Packera bolanderi,3,1,
19,Herbs,Polystichum munitum,6,4,
19,Herbs,Prosartes hookeri,2,1,
19,Herbs,Trientalis latifolia,12,4,
19,Herbs,UNK Grasses,4,1,
19,Herbs,Viola sempervirens,8,4,
19,Herbs,Whipplea modesta,6,2,
19,Shrubs,Arbutus menziesii,1,1,
19,Shrubs,Calocedrus decurrens,4,3,
19,Shrubs,Gaultheria shallon,23,9,
19,Shrubs,Lithocarpus densiflorus,1,1,
19,Shrubs,Quercus chrysolepis,1,1,
19,Shrubs,Rosa gymnocarpa,3,3,
19,Shrubs,Rubus ursinus,18,8,
20,Herbs,Achlys triphylla,378,21,
20,Herbs,Asarum caudatum,1,1,
20,Herbs,Festuca occidentalis,0.001,0,
20,Herbs,Galium triflorum,2,2,
20,Herbs,Goodyera oblongifolia,5,3,
20,Herbs,Polystichum munitum,5,4,
20,Herbs,Prosartes hookeri,3,2,
20,Herbs,Symphoricarpos albus var. laevigatus,2,2,
20,Herbs,Trientalis latifolia,27,10,
20,Herbs,UNK Grass,20,0,
20,Herbs,UNK Grasses,1,1,
20,Shrubs,Berberis nervosa,44,7,
20,Shrubs,Lithocarpus densiflorus,6,5,
20,Shrubs,Rosa gymnocarpa,14,7,
20,Shrubs,Rubus ursinus,3,3,
20,Shrubs,Toxicodendron diversilobum,2,2,
21,Herbs,Achlys triphylla,139,8,
21,Herbs,Allotropa virgata,1,1,
21,Herbs,Campanula prenanthoides,2,1,
21,Herbs,Goodyera oblongifolia,2,2,
21,Herbs,Madia madioides,0.001,0,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
21,Herbs,Prosartes hookeri,9,7,
21,Herbs,Pteridium aquilinum var. pubescens,20,11,
21,Herbs,Symphoricarpos mollis,1,1,
21,Herbs,Trientalis latifolia,1,1,
21,Herbs,Viola sempervirens,14,7,
21,Shrubs,Berberis nervosa,22,10,
21,Shrubs,Cornus sp.,1,1,
21,Shrubs,Gaultheria shallon,16,11,
21,Shrubs,Lithocarpus densiflorus,13,10,
21,Shrubs,Pseudotsuga menziesii var. menziesii,8,5,
21,Shrubs,Rosa gymnocarpa,16,8,
21,Shrubs,Rubus ursinus,10,8,
22,Herbs,Achlys triphylla,110,15,
22,Herbs,Adenocaulon bicolor,13,5,
22,Herbs,Campanula scouleri,8,3,
22,Herbs,Chimaphila menziesii,1,1,
22,Herbs,Festuca occidentalis,0.001,0,
22,Herbs,Goodyera oblongifolia,7,3,
22,Herbs,Lathyrus brownii,2,1,
22,Herbs,Phlox adsurgens,5,2,
22,Herbs,Prosartes hookeri,14,11,
22,Herbs,Pteridium aquilinum var. latiusculum,4,3,
22,Herbs,Smilacina racemosa,0.001,0,
22,Herbs,Trientalis latifolia,1,1,
22,Herbs,UNK Grasses,1,1,
22,Herbs,Vancouveria hexandra,2,2,
22,Herbs,Viola sempervirens,7,5,
22,Shrubs,Berberis nervosa,3,2,
22,Shrubs,Gaultheria shallon,89,21,
22,Shrubs,Lithocarpus densiflorus,11,9,
22,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
22,Shrubs,Rosa gymnocarpa,9,8,
22,Shrubs,Rubus ursinus,3,3,
23,Herbs,Achlys triphylla,159,16,
23,Herbs,Adenocaulon bicolor,11,3,
23,Herbs,Campanula scouleri,35,8,
23,Herbs,Galium triflorum,2,2,
23,Herbs,Polystichum munitum,1,1,
23,Herbs,Prosartes hookeri,15,9,
23,Herbs,Pteridium aquilinum var. pubescens,16,10,
23,Herbs,Thelypteris nevadensis,0.001,0,
23,Herbs,UNK Grasses,7,4,
23,Herbs,Viola sempervirens,16,7,
23,Shrubs,Berberis nervosa,7,2,
23,Shrubs,Gaultheria shallon,5,2,
23,Shrubs,Lithocarpus densiflorus,7,7,
23,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
23,Shrubs,Rosa gymnocarpa,8,5,
23,Shrubs,Rubus ursinus,5,4,
24,Herbs,Achlys triphylla,109,8,
24,Herbs,Corallorhiza maculata,6,1,
24,Herbs,Goodyera oblongifolia,7,4,
24,Herbs,Hieracium albiflorum,7,3,
24,Herbs,Prosartes hookeri,3,3,
24,Herbs,Pteridium aquilinum var. pubescens,14,9,
24,Herbs,Trientalis latifolia,2,2,
24,Herbs,Viola sempervirens,10,4,
24,Shrubs,Berberis nervosa,15,3,
24,Shrubs,Gaultheria shallon,5,2,
24,Shrubs,Lithocarpus densiflorus,7,6,
24,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
24,Shrubs,Rosa gymnocarpa,20,9,
24,Shrubs,Rubus ursinus,8,7,
25,Herbs,Achlys triphylla,78,6,
25,Herbs,Adenocaulon bicolor,4,4,
25,Herbs,Collomia heterophylla,0.001,0,
25,Herbs,Lathyrus polyphyllus,0.001,0,
25,Herbs,Prosartes hookeri,13,8,
25,Herbs,Pteridium aquilinum var. pubescens,16,10,
25,Herbs,Symphoricarpos albus var. laevigatus,3,3,
25,Shrubs,Berberis nervosa,6,2,
25,Shrubs,Holodiscus discolor,1,1,
25,Shrubs,Lithocarpus densiflorus,13,11,
25,Shrubs,Pseudotsuga menziesii var. menziesii,3,3,
25,Shrubs,Rosa gymnocarpa,4,2,
26,Herbs,Prosartes hookeri,4,3,
26,Herbs,Pteridium aquilinum var. pubescens,39,20,
26,Herbs,Tauschia kelloggii,6,6,
26,Shrubs,Lithocarpus densiflorus,6,6,
26,Shrubs,Pseudotsuga menziesii var. menziesii,2,2,
26,Shrubs,Rosa gymnocarpa,6,6,
27,Herbs,Prosartes hookeri,4,2,
27,Herbs,Pteridium aquilinum var. pubescens,34,18,
27,Shrubs,Berberis nervosa,2,2,
27,Shrubs,Lithocarpus densiflorus,13,10,
27,Shrubs,Rosa gymnocarpa,9,7,
27,Shrubs,Rubus ursinus,1,1,
28,Herbs,Achlys triphylla,29,9,
28,Herbs,Aralia californica,2,1,
28,Herbs,Boykinia occidentalis,0.001,0,
28,Herbs,Carex bolanderi,5,5,
28,Herbs,Corallorhiza maculata,0.001,0,
28,Herbs,Galium triflorum,2,1,
28,Herbs,Polystichum munitum,3,3,
28,Herbs,Pteridium aquilinum var. pubescens,2,2,
28,Herbs,Trientalis latifolia,3,3,
28,Herbs,Trillium ovatum,0.001,0,
28,Herbs,Vancouveria hexandra,0.001,0,
28,Herbs,Viola sempervirens,2,1,
28,Herbs,Whipplea modesta,1,1,
28,Shrubs,Acer circinatum,1,1,
28,Shrubs,Berberis nervosa,51,13,
28,Shrubs,Corylus cornuta,2,2,
28,Shrubs,Gaultheria shallon,41,15,
28,Shrubs,Lithocarpus densiflorus,4,4,
28,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
28,Shrubs,Quercus chrysolepis,2,2,
28,Shrubs,Rosa gymnocarpa,9,3,
28,Shrubs,Rubus ursinus,18,11,
29,Herbs,Achlys triphylla,74,12,
29,Herbs,Adenocaulon bicolor,1,1,
29,Herbs,Chimaphila umbellata,34,6,
29,Herbs,Collomia heterophylla,12,2,
29,Herbs,Galium triflorum,14,8,
29,Herbs,Hieracium albiflorum,5,4,
29,Herbs,Linnaea borealis var. longiflora,29,12,
29,Herbs,Lonicera hispidula var. vacillans,2,1,
29,Herbs,Luzula comosa,0.001,0,
29,Herbs,Packera bolanderi,12,8,
29,Herbs,Phlox adsurgens,2,2,
29,Herbs,Polystichum munitum,6,6,
29,Herbs,Prosartes hookeri,7,3,
29,Herbs,Pteridium aquilinum var. pubescens,1,1,
29,Herbs,Smilacina sp.,5,1,
29,Herbs,Symphoricarpos mollis,1,1,
29,Herbs,Trientalis latifolia,70,18,
29,Herbs,UNK #2,1,1,
29,Herbs,UNK Grasses,13,10,
29,Herbs,Vancouveria hexandra,2,1,
29,Herbs,Viola sempervirens,6,3,
29,Shrubs,Acer circinatum,2,2,
29,Shrubs,Berberis nervosa,15,8,
29,Shrubs,Corylus cornuta,5,4,
29,Shrubs,Holodiscus discolor,2,1,
29,Shrubs,Lithocarpus densiflorus,6,6,
29,Shrubs,Pinus lambertiana,1,1,
29,Shrubs,Quercus chrysolepis,2,2,
29,Shrubs,Rosa gymnocarpa,14,7,
29,Shrubs,Rubus parviflorus,3,2,
29,Shrubs,Rubus ursinus,2,2,
29,Shrubs,Toxicodendron diversilobum,3,2,
30,Herbs,Achlys triphylla,99,13,
30,Herbs,Adenocaulon bicolor,22,11,
30,Herbs,Adiantum aleuticum,2,2,
30,Herbs,Asarum hartwegii,0.001,0,
30,Herbs,Collomia heterophylla,16,1,
30,Herbs,Galium triflorum,18,7,
30,Herbs,Hieracium albiflorum,11,6,
30,Herbs,Linnaea borealis var. longiflora,4,2,
30,Herbs,Packera bolanderi,7,3,
30,Herbs,Phlox adsurgens,16,9,
30,Herbs,Polystichum munitum,9,9,
30,Herbs,Prosartes hookeri,0.001,0,
30,Herbs,Pteridium aquilinum var. pubescens,0.001,0,
30,Herbs,Smilacina sp.,1,1,
30,Herbs,Trientalis latifolia,22,10,
30,Herbs,Vancouveria hexandra,17,6,
30,Herbs,Viola sempervirens,16,7,
30,Shrubs,Acer circinatum,1,1,
30,Shrubs,Amelanchier alnifolia ssp. semiintegrifolia,1,1,
30,Shrubs,Berberis nervosa,27,9,
30,Shrubs,Cornus sp.,0.001,0,
30,Shrubs,Holodiscus discolor,0.001,0,
30,Shrubs,Lithocarpus densiflorus,8,6,
30,Shrubs,Rosa gymnocarpa,16,7,
30,Shrubs,Rubus parviflorus,15,5,
30,Shrubs,Rubus ursinus,1,1,
30,Shrubs,Salix sp.,0.001,0,
30,Shrubs,Toxicodendron diversilobum,14,6,
31,Herbs,Achlys triphylla,4,3,
31,Herbs,Apocynum androsaemifolium,3,2,
31,Herbs,Asarum hartwegii,3,2,
31,Herbs,Campanula scouleri,0.001,0,
31,Herbs,Chimaphila umbellata,4,2,
31,Herbs,Collomia heterophylla,1,1,
31,Herbs,Cypripedium fasciculatum,1,1,
31,Herbs,Linnaea borealis var. longiflora,11,6,
31,Herbs,Phlox adsurgens,3,2,
31,Herbs,Prosartes hookeri,1,1,
31,Herbs,Pteridium aquilinum var. pubescens,9,4,
31,Herbs,Silene campanulata,0.001,0,
31,Herbs,Smilacina sp.,2,2,
31,Herbs,Trientalis latifolia,12,4,
31,Herbs,Trillium ovatum,1,1,
31,Herbs,Viola sempervirens,2,1,
31,Shrubs,Berberis nervosa,8,6,
31,Shrubs,Chrysolepis chrysophylla var. chrysophylla,2,2,
31,Shrubs,Corylus cornuta,1,1,
31,Shrubs,Holodiscus discolor,4,0,
31,Shrubs,Lithocarpus densiflorus,7,6,
31,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
31,Shrubs,Rosa gymnocarpa,5,5,
31,Shrubs,Toxicodendron diversilobum,3,2,
32,Herbs,Apocynum androsaemifolium,1,1,
32,Herbs,Collomia heterophylla,1,1,
32,Herbs,Epilobium minutum,5,1,
32,Herbs,Lonicera hispidula var. vacillans,1,1,
32,Herbs,Melica harfordii,0.001,0,
32,Herbs,Pteridium aquilinum var. pubescens,31,11,
32,Herbs,Rupertia physodes,12,8,
32,Herbs,UNK Grasses,3,1,
32,Shrubs,Chrysolepis chrysophylla var. chrysophylla,1,1,
32,Shrubs,Lithocarpus densiflorus,5,5,
32,Shrubs,Pseudotsuga menziesii var. menziesii,1,1,
32,Shrubs,Quercus chrysolepis,2,2,
32,Shrubs,Rosa gymnocarpa,8,6,
32,Shrubs,Rubus ursinus,2,2,
32,Shrubs,Toxicodendron diversilobum,16,8,
33,Herbs,Achlys triphylla,1,1,
33,Herbs,Apocynum androsaemifolium,11,8,
33,Herbs,Campanula prenanthoides,8,5,
33,Herbs,Festuca occidentalis,0.001,0,
33,Herbs,Lonicera hispidula var. vacillans,2,2,
33,Herbs,Pteridium aquilinum var. pubescens,17,11,
33,Herbs,UNK Grasses,1,1,
33,Shrubs,Lithocarpus densiflorus,18,13,
33,Shrubs,Pseudotsuga menziesii var. menziesii,7,3,
33,Shrubs,Quercus chrysolepis,7,4,
33,Shrubs,Rosa gymnocarpa,36,15,
33,Shrubs,Rubus ursinus,6,5,
33,Shrubs,Toxicodendron diversilobum,9,4,
34,Herbs,Achlys triphylla,6,1,
34,Herbs,Adenocaulon bicolor,2,1,
34,Herbs,Apocynum androsaemifolium,14,4,
34,Herbs,Campanula prenanthoides,21,9,
34,Herbs,Collomia heterophylla,27,4,
34,Herbs,Cynoglossum grande,0.001,0,
34,Herbs,Epilobium minutum,3,2,
34,Herbs,Hieracium albiflorum,3,1,
34,Herbs,Lonicera hispidula var. vacillans,7,4,
34,Herbs,Melica harfordii,0.001,0,
34,Herbs,Polystichum munitum,7,7,
34,Herbs,Trientalis latifolia,1,1,
34,Herbs,UNK Grasses,8,5,
34,Shrubs,Ceanothus integerrimus,0.001,0,
34,Shrubs,Cornus sericea,0.001,0,
34,Shrubs,Holodiscus discolor,1,1,
34,Shrubs,Lithocarpus densiflorus,9,6,
34,Shrubs,Quercus chrysolepis,5,5,
34,Shrubs,Rosa gymnocarpa,11,7,
34,Shrubs,Toxicodendron diversilobum,39,12,
35,Herbs,Achlys triphylla,86,10,
35,Herbs,Adenocaulon bicolor,1,1,
35,Herbs,Apocynum androsaemifolium,10,7,
35,Herbs,Campanula prenanthoides,22,10,
35,Herbs,Collomia heterophylla,11,3,
35,Herbs,Cynoglossum grande,12,4,
35,Herbs,Lonicera hispidula var. vacillans,8,5,
35,Herbs,Phlox adsurgens,12,6,
35,Herbs,Polystichum imbricans,2,1,
35,Herbs,Prosartes hookeri,8,8,
35,Herbs,Pteridium aquilinum var. pubescens,14,9,
35,Herbs,Tauschia kelloggii,10,8,
35,Herbs,Trientalis latifolia,1,1,
35,Herbs,UNK Grasses,1,1,
35,Herbs,Vancouveria hexandra,5,2,
35,Shrubs,Berberis nervosa,10,7,
35,Shrubs,Corylus cornuta,1,1,
35,Shrubs,Lithocarpus densiflorus,14,11,
35,Shrubs,Quercus chrysolepis,7,5,
35,Shrubs,Rosa gymnocarpa,14,7,
35,Shrubs,Rubus ursinus,2,2,
35,Shrubs,Toxicodendron diversilobum,23,9,
36,Herbs,Achlys triphylla,1,1,
36,Herbs,Apocynum androsaemifolium,11,10,
36,Herbs,Prosartes hookeri,18,11,
36,Herbs,Pteridium aquilinum var. pubescens,58,18,
36,Herbs,Tauschia kelloggii,3,2,
36,Shrubs,Lithocarpus densiflorus,2,2,
36,Shrubs,Rosa gymnocarpa,8,6,
36,Shrubs,Rubus ursinus,16,10,
36,Shrubs,Toxicodendron diversilobum,27,10,
37,Herbs,Achlys triphylla,49,3,
37,Herbs,Adenocaulon bicolor,8,5,
37,Herbs,Apocynum androsaemifolium,12,6,
37,Herbs,Bromus suksdorfii,0.001,0,
37,Herbs,Campanula prenanthoides,29,8,
37,Herbs,Collomia heterophylla,2,1,
37,Herbs,Fragaria vesca,1,1,
37,Herbs,Galium triflorum,1,1,
37,Herbs,Goodyera oblongifolia,5,3,
37,Herbs,Hieracium albiflorum,26,12,
37,Herbs,Iris chrysophylla,2,1,
37,Herbs,Lonicera hispidula var. vacillans,0.001,0,
37,Herbs,Madia madioides,2,2,"Whittaker used Anisocarpus madioides, but Fred Hrusa says this is incredibly unlikely and should be Madia madioides.  We changed names."
37,Herbs,Osmorhiza berteroi,6,3,
37,Herbs,Phlox adsurgens,2,1,
37,Herbs,Prosartes hookeri,2,1,
37,Herbs,Trientalis latifolia,21,7,
37,Herbs,UNK Grasses,36,12,
37,Shrubs,Berberis nervosa,22,9,
37,Shrubs,Corylus cornuta,1,1,
37,Shrubs,Lithocarpus densiflorus,10,5,
